name,category,brand,price,image_url
Aloe Vera Shampoo,Bath,Himalaya,199.00,https://example.com/images/aloe-vera-shampoo.jpg
Herbal Body Wash,Bath,Dove,249.00,https://example.com/images/herbal-body-wash.jpg
Moisturizing Soap Bar,Bath,Lux,89.00,https://example.com/images/soap-bar.jpg
Saffron Face Cream,Beauty,L'Oreal,499.00,https://example.com/images/face-cream.jpg
Matte Lipstick,Beauty,Maybelline,399.00,https://example.com/images/lipstick.jpg
Slim Fit T-Shirt,Clothing,Puma,799.00,https://example.com/images/tshirt.jpg
Denim Jeans,Clothing,Levis,1499.00,https://example.com/images/jeans.jpg
Running Shoes,Footwear,Nike,2999.00,https://example.com/images/running-shoes.jpg
Casual Sneakers,Footwear,Adidas,2499.00,https://example.com/images/sneakers.jpg
Cotton Kurti,Clothing,Biba,999.00,https://example.com/images/kurti.jpg
Notebook Set,Stationery,Camlin,129.00,https://example.com/images/notebook-set.jpg
Ball Pen Pack,Stationery,Reynolds,49.00,https://example.com/images/pen-pack.jpg
Organic Rice,Grocery,BigBasket,189.00,https://example.com/images/organic-rice.jpg
Sunflower Oil,Grocery,Fortune,159.00,https://example.com/images/sunflower-oil.jpg
Breakfast Cereal,Grocery,Kellogg's,299.00,https://example.com/images/cereal.jpg
Black Coffee,Grocery,Nescafe,249.00,https://example.com/images/black-coffee.jpg
Face Wash,Bath,Nivea,179.00,https://example.com/images/face-wash.jpg
Sneaker Socks,Footwear,Fila,199.00,https://example.com/images/socks.jpg
Dupatta,Clothing,W,299.00,https://example.com/images/dupatta.jpg
Dish Soap,Bath,Vim,79.00,https://example.com/images/dish-soap.jpg
